address,price,lat,lon,year
160 Federal St #C1C,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C1D,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C2,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C20,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C22,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G1,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G100,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G20,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G22,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G24,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G26,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G29,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G32,1.9e+08,42.354062,-71.056015,2017
160 Federal St #G34,1.9e+08,42.354062,-71.056015,2017
160 Federal St #C21,3e+06,42.354062,-71.056015,2017
160 Federal St #G21,3e+06,42.354062,-71.056015,2017
160 Federal St #G31,3e+06,42.354062,-71.056015,2017
160 Federal St #C12,2783531,42.354062,-71.056015,2000
160 Federal St #C15,7817500,42.354062,-71.056015,2000
160 Federal St #C6,39417708,42.354062,-71.056015,2000
160 Federal St #C7,30981260,42.354062,-71.056015,2000
160 Newbury St,7600000,42.350666,-71.078214,2007
160 Saint Botolph St,3100000,42.246694,-71.177759,2021
161 W Brookline St,2091000,42.343679,-71.076798,2018
161 W Canton St,4035000,42.3436,-71.075783,2015
162 Prince St,910000,42.367038,-71.057973,2011
162-164 Lincoln St,2e+06,42.350892,-71.058409,2015
162-164 Lincoln St,2017031,42.350892,-71.058409,2015
163-165 Marlborough St #5,2425000,42.352775,-71.079293,2014
163-165 Marlborough St #1A,725000,42.352775,-71.079293,2017
163-165 Marlborough St #3,1268801,42.352775,-71.079293,2020
163 Commonwealth Ave,4674000,42.351987,-71.078989,2010
164 Endicott St,1683000,42.365654,-71.057572,2013
165 W Newton St,1442500,42.342889,-71.077945,2004
324-332 Beacon St #146,1910000,42.352637,-71.083224,2003
165 Tremont St #901,2175000,42.354233,-71.063727,2019
165 Tremont St #1601,2009000,42.354233,-71.063727,2013
165 Tremont St #1701,3450000,42.354321,-71.063812,2015
165 W Canton St,4600000,42.343549,-71.07563,2019
73 Rutland St #3,635000,42.34048,-71.076636,2018
166-168 Salem St,3200000,42.366412,-71.05471,2021
166 Marlborough St #3,3525000,42.35261,-71.079555,2018
107 Chestnut St #4,1430000,42.356682,-71.071896,2016
167 W Newton St,1975000,42.342944,-71.078,2018
160 Beacon St #3,7525000,42.35455,-71.075815,2016
168 Marlborough St #1,1975000,42.35258,-71.079309,2014
41-43 Edgerly Rd,5316000,42.345379,-71.087848,2019
169 Newbury St,6300000,42.350681,-71.078851,2020
2 Hawthorne Pl #16L,310000,42.363418,-71.066692,2012
500 Atlantic Ave #16N,2e+06,42.353653,-71.053436,2009
17 Bond St,3670000,42.343578,-71.069063,2018
17 Claremont Park #1,1020000,42.34236,-71.08194,2012
7 Cortes St,805000,42.348312,-71.069513,2000
17 Garrison St,2e+06,42.346055,-71.080015,2011
17 Gloucester St #9,1100000,42.350788,-71.084816,2011
17 Greenwich Park,1900000,42.335683,-71.083942,2011
17 Louisburg Sq,14800000,42.358424,-71.068599,2022
118 Riverway #17,365000,42.34327,-71.104387,2014
17-19 Winter St,14500000,42.356006,-71.061391,2007
Friend St,1085000,0,0,2011
171 Beacon St #4-3,214000,42.354494,-71.075674,2000
171 Newbury St,13250000,42.350652,-71.078956,2014
171 Beacon St #2-3,314000,42.354533,-71.075879,2011
171 Tremont St,16762265,42.353493,-71.064067,2015
172 Newbury St,6600000,42.350499,-71.078815,2007
1721 Washington St #A,1850000,42.336989,-71.076499,2018
173 Endicott St,670000,42.365907,-71.057508,2018
174 W Brookline St,2950000,42.343169,-71.07666,2015
175 Beacon St,6300000,42.354449,-71.075838,2017
175 Commonwealth Ave #D,2770000,42.35179,-71.079728,2018
175 Marlborough St #2,4550000,42.352634,-71.07983,2020
300 Pier 4 Blvd #6D,5300000,0,0,2022
175 Saint Botolph St #1,729000,42.246694,-71.177759,2017
265 Purchase St,2e+07,42.353399,-71.055686,2012
265 Purchase St,14900000,42.353399,-71.055686,2001
176 Marlborough St #3,1600000,42.35261,-71.079555,2013
176-178 North St,8250000,42.363168,-71.054152,2019
176-178 North St,5500000,42.363168,-71.054152,2016
177 Newbury St,3500000,42.350564,-71.079271,2007
213 W Canton St #1,7e+05,42.345112,-71.076756,2011
45 Temple St #603,3850000,42.359805,-71.063566,2022
178 W Canton St,4200000,42.344094,-71.075887,2020
179 Beacon St #3,625000,42.354404,-71.076001,2012
179 Marlborough St #2,1815000,42.352587,-71.080009,2013
179 Massachusetts Ave #2,3e+06,42.345888,-71.087193,2017
179 Saint Botolph St,4925000,42.246694,-71.177759,2018
179 Saint Botolph St,3900000,42.246694,-71.177759,2014
179 Newbury St,4082500,42.350535,-71.079377,2007
18 Exeter St,3201000,42.352018,-71.080608,2007
18 Hanson St #2,905000,42.343299,-71.069858,2014
40 Lawrence St #2,395000,42.345991,-71.073071,2013
18 Stillman St #1,1285000,42.363779,-71.056674,2015
18 Stillman St #2,1285000,42.363779,-71.056674,2015
18 Stillman St #3,1285000,42.363779,-71.056674,2015
18 Stillman St #4,1285000,42.363779,-71.056674,2015
18 Winchester St,1600000,42.349621,-71.067874,2018
180 Beacon St #12G,2200000,42.354329,-71.076986,2008
180 Beacon St #16A,1800000,42.354329,-71.076986,2017
180 Beacon St #2D,585000,42.35455,-71.075815,2014
180 Beacon St #6D,2950000,42.35455,-71.075815,2020
180 Beacon St #6E,2950000,42.354329,-71.076986,2020
